Problema,Método,Máximo,Mínimo,Mediana,IQR,Media,STD,Mejor Solución
F7,HillClimbing,-17.061473580440584,-18.26492811136535,-17.81218106942092,0.19897784962333986,-17.761277248068758,0.3279879747867549,-18.26492811136535
F7,SteepestAscentHillClimbing,-15.421190694165645,-18.545582080953597,-18.163955410119982,0.7525953906348519,-17.7270955322983,0.9966294586830826,-18.545582080953597
F7,SteepestAscentHillClimbingWithReplacement,-16.42255288559885,-18.480129996946793,-17.848427184099876,0.6347349152623529,-17.69906489391809,0.6198328628330283,-18.480129996946793
F7,RandomSearch,-16.22288375026154,-18.549066289592098,-18.11120808195374,1.1790494231355453,-17.733266085590365,0.7879304650845187,-18.549066289592098
F7,HillClimbingWithRandomRestarts,-16.540524122008367,-18.488288172088684,-17.850887650278757,1.1001524430515772,-17.69075840553224,0.6774009223295767,-18.488288172088684
F7,SimmulatedAnneling,-16.466305478812103,-18.49323495628279,-17.785116673661758,1.5538937293715662,-17.65325304095422,0.8437815630397143,-18.49323495628279
F7,IteratedLocalSearchWithRandomRestarts,-16.99610041326272,-18.4429192110208,-17.748154892038272,0.4615984805543185,-17.8241812112665,0.4168036715895023,-18.4429192110208
F7,Evolutivo,-4.1867931098077,-18.484967097342867,-15.867643057654515,8.680398468249072,-13.313273621405793,5.560078478430183,-18.484967097342867
F12,HillClimbing,-0.21169487945247734,-0.23050735521923005,-0.22248221166292093,0.010066037075047551,-0.22205711854097226,0.006427622935247615,-0.23050735521923005
F12,SteepestAscentHillClimbing,-0.20978054866670404,-0.230496671006174,-0.22672019720889647,0.01018475766076024,-0.22311849405063913,0.007753943791611334,-0.230496671006174
F12,SteepestAscentHillClimbingWithReplacement,-0.2114573961897671,-0.229645458029892,-0.22562259484482072,0.0021157138154748734,-0.22420908701993314,0.0050367122196727536,-0.229645458029892
F12,RandomSearch,-0.2119397492631253,-0.2305720576071647,-0.22423175225327902,0.010359574787931286,-0.22350118050769616,0.006398317063653051,-0.2305720576071647
F12,HillClimbingWithRandomRestarts,-0.21644890586766208,-0.23020303244748808,-0.22384563459438594,0.008731515224734199,-0.22397964703311973,0.005175345667826932,-0.23020303244748808
F12,SimmulatedAnneling,-0.20207017782066194,-0.22883184051186956,-0.21998028405593373,0.015299980213104358,-0.21787309473736283,0.009909950967651508,-0.22883184051186956
F12,IteratedLocalSearchWithRandomRestarts,-0.1712283097520907,-0.23018262514044374,-0.21672214561211384,0.021062417533741967,-0.2130908008716887,0.018052433941145002,-0.23018262514044374
F12,Evolutivo,0.7090235996618821,-0.1742936708980637,0.405570460758928,0.3029978579547219,0.3536621805679467,0.2720387629046199,-0.1742936708980637
F13,HillClimbing,0.035840082929214145,-0.14748741522336128,-0.043744034343668,0.06937365192495729,-0.049485050200219545,0.059769595865946004,-0.14748741522336128
F13,SteepestAscentHillClimbing,0.020722254465295076,-0.22735929013431277,-0.10033405134848425,0.09676340700002761,-0.09593911769637857,0.07925391176789615,-0.22735929013431277
F13,SteepestAscentHillClimbingWithReplacement,0.11306974975433148,-0.22409438047473296,-0.07723627424155421,0.0747126141747162,-0.07790049934805793,0.09449023194970897,-0.22409438047473296
F13,RandomSearch,0.17153974219887003,-0.12841769827633298,-0.019084120083338207,0.06306384624069247,-0.0012052739687346881,0.10174072096378496,-0.12841769827633298
F13,HillClimbingWithRandomRestarts,0.10126319444130438,-0.15962067980190509,-0.053915851244627166,0.060323941415150475,-0.04855700934986594,0.07486472268804853,-0.15962067980190509
F13,SimmulatedAnneling,0.05629915809552466,-0.18712728527726064,-0.07059240943340678,0.09920130608772956,-0.0739941029430311,0.07363077386542685,-0.18712728527726064
F13,IteratedLocalSearchWithRandomRestarts,0.1403493052499345,-0.2298315409086989,-0.03267121287602748,0.1584534991524235,-0.03989380401389386,0.11036911850706028,-0.2298315409086989
F13,Evolutivo,5.268952896025238,-0.21520003370991478,-0.20900396607605345,0.029126930306339588,0.6209841887974117,1.8562597616174736,-0.21520003370991478
